"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"
"4233"	"9"	"IMG_6992.JPG"	"184582"	"august"	"2015"	"C1"	"CAL13-1899"	NA	"184582"
"1681"	"20"	"IMG_7066.JPG"	"182C32"	"august"	"2013"	"C1"	"CAL13-1900"	NA	"182C32"
"3698"	"14"	"IMG_4560.JPG"	"182C32"	"june"	"2015"	"C1"	"CAL13-1900"	NA	"182C32"
"1682"	"21"	"IMG_7067.JPG"	"1871BF"	"august"	"2013"	"C1"	"CAL13-1901"	NA	"1871BF"
"1683"	"22"	"IMG_7068.JPG"	"1849B9"	"august"	"2013"	"C1"	"CAL13-1902"	NA	"1849B9"
"3132"	"11"	"IMG_9962.JPG"	"1849B9"	"august"	"2014"	"C2"	"CAL13-1902"	NA	"1849B9"
"1684"	"23"	"IMG_7069.JPG"	"18554F"	"august"	"2013"	"C1"	"CAL13-1903"	NA	"18554F"
"2436"	"13"	"CAL14-1944.jpg"	"4EE0FC"	"june"	"2014"	"C1"	"CAL14-1944"	NA	"4EE0FC"
"3108"	"1"	"IMG_9937.JPG"	"4EE0FC"	"august"	"2014"	"C1"	"CAL14-1944"	NA	"4EE0FC"
"2429"	"6"	"6D597F.jpg"	"6D597F"	"june"	"2014"	"C1"	"CAL14-1945"	NA	"6D597F"
"2437"	"14"	"CAL14-1945.jpg"	"6D597F"	"june"	"2014"	"C1"	"CAL14-1945"	NA	"6D597F"
"3141"	"20"	"IMG_9972.JPG"	"6D597F"	"august"	"2014"	"C2"	"CAL14-1945"	NA	"6D597F"
"2438"	"15"	"CAL14-1946.jpg"	"183F4E"	"june"	"2014"	"C1"	"CAL14-1946"	NA	"183F4E"
"3686"	"2"	"IMG_4548.JPG"	"183F4E"	"june"	"2015"	"C1"	"CAL14-1946"	NA	"183F4E"
"3701"	"17"	"IMG_5694.JPG"	"183F4E"	"june"	"2015"	"C1"	"CAL14-1946"	NA	"183F4E"
"4237"	"13"	"IMG_7529.JPG"	"183F4E"	"august"	"2015"	"C1"	"CAL14-1946"	NA	"183F4E"
"5385"	"13"	"IMG_2326.JPG"	"183F4E"	"june"	"2017"	"C1"	"CAL14-1946"	NA	"183F4E"
"2439"	"16"	"CAL14-1947.jpg"	"6D8324"	"june"	"2014"	"C1"	"CAL14-1947"	NA	"6D8324"
"3109"	"2"	"IMG_9938.JPG"	"6D8324"	"august"	"2014"	"C1"	"CAL14-1947"	NA	"6D8324"
"3700"	"16"	"IMG_4562.JPG"	"6D8324"	"june"	"2015"	"C1"	"CAL14-1947"	NA	"6D8324"
"3113"	"6"	"IMG_9942.JPG"	"4EEDC9"	"august"	"2014"	"C1"	"CAL14-1948"	NA	"4EEDC9"
"2451"	"6"	"IMG_8413.jpg"	"4EEDC9"	"june"	"2014"	"C2"	"CAL14-1948"	NA	"4EEDC9"
"4244"	"6"	"IMG_7000.JPG"	"4EEDC9"	"august"	"2015"	"C2"	"CAL14-1948"	NA	"4EEDC9"
"5825"	"16"	"IMG_3205.JPG"	"4EEDC9"	"august"	"2017"	"C2"	"CAL14-1948"	NA	"4EEDC9"
"3117"	"10"	"IMG_9947.JPG"	"4EDFAE"	"august"	"2014"	"C1"	"CAL14-1949"	NA	"4EDFAE"
"5381"	"9"	"IMG_1996.JPG"	"4EDFAE"	"june"	"2017"	"C1"	"CAL14-1949"	NA	"4EDFAE"
"5800"	"3"	"IMG_2860.JPG"	"4EDFAE"	"august"	"2017"	"C1"	"CAL14-1949"	NA	"4EDFAE"
"2453"	"8"	"IMG_8415.jpg"	"4EDFAE"	"june"	"2014"	"C2"	"CAL14-1949"	NA	"4EDFAE"
"2435"	"12"	"CAL14-2099_Jun14.jpg'"	"052877"	"june"	"2014"	"C1"	"CAL14-2099"	NA	"052877"
"2444"	"21"	"IMG_9159.jpg"	"052877"	"june"	"2014"	"C1"	"CAL14-2099"	NA	"052877"
"3119"	"12"	"IMG_9949.JPG"	"052912"	"august"	"2014"	"C1"	"CAL14-2211"	NA	"052912"
"4886"	"3"	"IMG_9191.JPG"	"655293"	"june"	"2016"	"C1"	"CAL16-2863"	NA	"655293"
"5798"	"1"	"IMG_2858.JPG"	"897978"	"august"	"2017"	"C1"	"CAL17-3204"	NA	"897978"
"5807"	"10"	"IMG_2867.JPG"	"897962"	"august"	"2017"	"C1"	"CAL17-3205"	NA	"897962"
"557"	"2"	"IMG_1184.JPG"	"4EFA28"	"august"	"2012"	"C10"	"CAL12-0795"	NA	"4EFA28"
"1198"	"20"	"IMG_5473.JPG"	"4EFA28"	"june"	"2013"	"C10"	"CAL12-0795"	NA	"4EFA28"
"1827"	"12"	"IMG_5891.jpg"	"4EFA28"	"august"	"2013"	"C10"	"CAL12-0795"	NA	"4EFA28"
"2576"	"24"	"IMG_9245.jpg"	"4EFA28"	"june"	"2014"	"C10"	"CAL12-0795"	NA	"4EFA28"
"3803"	"14"	"IMG_4544.JPG"	"4EFA28"	"june"	"2015"	"C10"	"CAL12-0795"	NA	"4EFA28"
"4341"	"4"	"IMG_6959.JPG"	"4EFA28"	"august"	"2015"	"C10"	"CAL12-0795"	NA	"4EFA28"
